Feature,Mean SHAP Value
related_not_close,0.17668058328219044
enjoyment_fun,0.1365390210614767
enjoyment_enjoyed,0.133809118148838
competence_capable,0.13361544834715675
autonomy_freedom,0.09553243132466067
autonomy_interesting,0.0814697806639691
competence_competent,0.07400540321279452
related_important,0.06148423493775177
enjoymen_boring,0.059152425282966006
extrinsic_avoid,0.041899562031738016
extrinsic_compelled,0.03930334177766685
autonomy_options,0.037070885271691306
competence_matched,0.03232477701725885
related_fulfilling,0.032233149018101044
enjoyment_attention,0.02770286271012283
extrinsic_forget,0.020870977489994672
extrinsic_escape,0.014986373301546592
